iter	Passed	Remaining
390	1136	1770
391	1138	1766
392	1141	1762
393	1143	1758
394	1145	1753
395	1147	1750
396	1150	1746
397	1152	1742
398	1154	1739
399	1157	1735
400	1159	1731
401	1161	1727
402	1164	1724
403	1166	1720
404	1168	1716
405	1170	1712
406	1172	1708
407	1174	1704
408	1177	1700
409	1179	1697
410	1182	1694
411	1184	1690
412	1186	1686
413	1188	1682
414	1190	1677
415	1192	1674
416	1195	1671
417	1197	1667
418	1199	1663
419	1201	1659
420	1203	1655
421	1205	1651
422	1208	1648
423	1211	1645
424	1213	1641
425	1215	1638
426	1217	1634
427	1220	1630
428	1222	1626
429	1225	1623
430	1227	1620
431	1229	1616
432	1231	1613
433	1234	1609
434	1236	1605
435	1239	1603
436	1241	1599
437	1244	1596
438	1246	1593
439	1248	1589
440	1251	1586
441	1254	1583
442	1256	1579
443	1258	1576
444	1261	1572
445	1263	1569
446	1266	1566
447	1269	1563
448	1271	1560
449	1273	1556
450	1275	1552
451	1277	1549
452	1280	1545
453	1282	1542
454	1285	1539
455	1287	1536
456	1290	1532
457	1292	1529
458	1294	1525
459	1296	1522
460	1299	1519
461	1301	1515
462	1303	1512
463	1306	1509
464	1308	1505
465	1311	1502
466	1314	1499
467	1316	1496
468	1318	1492
469	1320	1488
470	1322	1485
471	1324	1481
472	1327	1478
473	1329	1475
474	1331	1471
475	1333	1467
476	1335	1464
477	1337	1461
478	1340	1458
479	1343	1455
480	1346	1452
481	1348	1449
482	1351	1446
483	1353	1442
484	1355	1439
485	1358	1436
486	1360	1433
487	1362	1429
488	1365	1426
489	1367	1423
490	1369	1419
491	1371	1416
492	1374	1413
493	1376	1410
494	1379	1407
495	1381	1403
496	1383	1400
497	1385	1397
498	1388	1394
499	1390	1390
500	1393	1387
501	1395	1384
502	1397	1381
503	1399	1377
504	1402	1374
505	1405	1371
506	1407	1368
507	1409	1364
508	1411	1361
509	1413	1358
510	1415	1354
511	1418	1351
512	1420	1348
513	1422	1345
514	1425	1342
515	1427	1338
516	1429	1335
517	1432	1333
518	1434	1329
519	1437	1326
520	1439	1323
521	1441	1319
522	1443	1316
523	1445	1313
524	1448	1310
525	1450	1307
526	1452	1303
527	1454	1300
528	1456	1297
529	1459	1294
530	1462	1291
531	1464	1288
532	1466	1285
533	1469	1281
534	1471	1278
535	1473	1275
536	1476	1272
537	1478	1269
538	1480	1266
539	1483	1263
540	1485	1260
541	1487	1257
542	1489	1253
543	1492	1251
544	1494	1247
545	1496	1244
546	1498	1241
547	1500	1237
548	1503	1234
549	1505	1231
550	1508	1228
551	1510	1225
552	1512	1222
553	1514	1219
554	1517	1216
555	1519	1213
556	1521	1210
557	1524	1207
558	1526	1204
559	1528	1201
560	1530	1197
561	1532	1194
562	1535	1191
563	1537	1188
564	1539	1185
565	1541	1182
566	1543	1178
567	1545	1175
568	1548	1172
569	1550	1169
570	1552	1166
571	1555	1163
572	1558	1161
573	1560	1158
574	1562	1155
575	1564	1151
576	1567	1149
577	1569	1146
578	1572	1143
579	1575	1140
580	1577	1137
581	1579	1134
582	1582	1132
583	1585	1129
584	1587	1126
585	1589	1123
586	1591	1119
587	1593	1116
588	1596	1114
589	1598	1111
590	1601	1108
591	1603	1105
592	1606	1102
593	1608	1099
594	1611	1096
595	1613	1093
596	1616	1090
597	1618	1087
598	1620	1084
599	1622	1081
600	1625	1078
601	1627	1076
602	1630	1073
603	1632	1070
604	1634	1067
605	1636	1064
606	1639	1061
607	1641	1058
608	1643	1055
609	1645	1052
610	1648	1049
611	1650	1046
612	1652	1043
613	1655	1040
614	1657	1037
615	1660	1034
616	1662	1031
617	1664	1028
618	1666	1026
619	1669	1023
620	1672	1020
621	1674	1017
622	1676	1014
623	1678	1011
624	1681	1008
625	1683	1005
626	1685	1002
627	1688	1000
628	1690	996
629	1692	993
630	1694	990
631	1696	987
632	1698	984
633	1701	982
634	1704	979
635	1706	976
636	1708	973
637	1710	970
638	1713	967
639	1717	965
640	1719	962
641	1721	959
642	1723	956
643	1725	954
644	1728	951
645	1730	948
646	1732	945
647	1734	942
648	1736	939
649	1738	936
650	1741	933
651	1743	930
652	1745	927
653	1748	924
654	1750	921
655	1752	918
656	1754	916
657	1757	913
658	1759	910
659	1762	907
660	1764	904
661	1766	901
662	1768	898
663	1770	895
664	1772	892
665	1774	889
666	1777	887
667	1779	884
668	1781	881
669	1784	878
670	1786	876
671	1788	873
672	1791	870
673	1794	867
674	1796	864
675	1798	862
676	1801	859
677	1803	856
678	1805	853
679	1807	850
680	1810	847
681	1812	845
682	1814	842
683	1817	839
684	1819	836
685	1821	833
686	1823	831
687	1826	828
688	1828	825
689	1830	822
690	1832	819
691	1835	816
692	1837	814
693	1840	811
694	1842	808
695	1844	805
696	1846	802
697	1849	800
698	1852	797
699	1854	794
700	1856	791
701	1858	789
702	1861	786
703	1863	783
704	1866	780
705	1868	778
706	1870	775
707	1873	772
708	1875	769
709	1877	766
710	1880	764
711	1882	761
712	1884	758
713	1886	755
714	1889	753
715	1891	750
716	1894	747
717	1896	744
718	1898	742
719	1901	739
720	1903	736
721	1905	733
722	1907	730
723	1910	728
724	1912	725
725	1914	722
726	1916	719
727	1919	716
728	1921	714
729	1923	711
730	1926	708
731	1928	705
732	1929	702
733	1931	700
734	1933	697
735	1935	694
736	1937	691
737	1940	688
738	1942	686
739	1945	683
740	1947	680
741	1949	677
742	1952	675
743	1954	672
744	1957	669
745	1959	667
746	1961	664
747	1964	661
748	1966	658
749	1968	656
750	1971	653
751	1973	650
752	1975	648
753	1977	645
754	1980	642
755	1982	639
756	1985	637
757	1987	634
758	1989	631
759	1991	629
760	1994	626
761	1996	623
762	1998	620
763	2001	618
764	2003	615
765	2005	612
766	2008	610
767	2010	607
768	2012	604
769	2015	601
770	2017	599
771	2019	596
772	2021	593
773	2024	591
774	2026	588
775	2029	585
776	2031	583
777	2033	580
778	2036	577
779	2038	574
780	2040	572
781	2043	569
782	2046	567
783	2048	564
784	2050	561
785	2052	558
786	2055	556
787	2057	553
788	2060	550
789	2062	548
790	2064	545
791	2067	542
792	2069	540
793	2071	537
794	2074	534
795	2076	532
796	2078	529
797	2080	526
798	2082	523
799	2084	521
800	2087	518
801	2090	516
802	2093	513
803	2095	510
804	2097	508
805	2100	505
806	2102	502
807	2104	500
808	2107	497
809	2109	494
810	2111	492
811	2114	489
812	2117	487
813	2120	484
814	2122	481
815	2124	478
816	2126	476
817	2128	473
818	2130	470
819	2133	468
820	2135	465
821	2137	462
822	2140	460
823	2142	457
824	2145	455
825	2147	452
826	2151	449
827	2153	447
828	2156	444
829	2158	442
830	2160	439
831	2162	436
832	2164	434
833	2166	431
834	2169	428
835	2171	425
836	2173	423
837	2176	420
838	2178	418
839	2181	415
840	2183	412
841	2185	410
842	2187	407
843	2189	404
844	2191	402
845	2194	399
846	2196	396
847	2198	394
848	2200	391
849	2202	388
850	2204	386
851	2207	383
852	2210	380
853	2212	378
854	2214	375
855	2216	372
856	2219	370
857	2224	368
858	2226	365
859	2228	362
860	2231	360
861	2233	357
862	2236	354
863	2239	352
864	2241	349
865	2244	347
866	2246	344
867	2248	341
868	2250	339
869	2253	336
870	2255	334
871	2257	331
872	2260	328
873	2262	326
874	2264	323
875	2266	320
876	2268	318
877	2271	315
878	2273	313
879	2276	310
880	2278	307
881	2280	305
882	2283	302
883	2286	299
884	2288	297
885	2290	294
886	2292	292
887	2294	289
888	2297	286
889	2299	284
890	2302	281
891	2304	278
892	2306	276
893	2308	273
894	2312	271
895	2315	268
896	2317	266
897	2319	263
898	2321	260
899	2324	258
900	2326	255
901	2328	253
902	2331	250
903	2333	247
904	2336	245
905	2338	242
906	2341	240
907	2343	237
908	2346	234
909	2348	232
910	2350	229
911	2352	227
912	2354	224
913	2357	221
914	2359	219
915	2362	216
916	2364	214
917	2366	211
918	2368	208
919	2371	206
920	2374	203
921	2376	201
922	2378	198
923	2381	195
924	2383	193
925	2385	190
926	2388	188
927	2390	185
928	2393	182
929	2395	180
930	2397	177
931	2399	175
932	2402	172
933	2405	169
934	2407	167
935	2409	164
936	2411	162
937	2413	159
938	2416	156
939	2418	154
940	2420	151
941	2422	149
942	2425	146
943	2427	143
944	2429	141
945	2432	138
946	2434	136
947	2436	133
948	2438	131
949	2440	128
950	2443	125
951	2445	123
952	2447	120
953	2450	118
954	2452	115
955	2454	112
956	2457	110
957	2459	107
958	2461	105
959	2464	102
960	2466	100
961	2468	97
962	2470	94
963	2472	92
964	2475	89
965	2477	87
966	2480	84
967	2482	82
968	2484	79
969	2486	76
970	2489	74
971	2492	71
972	2494	69
973	2497	66
974	2499	64
975	2501	61
976	2503	58
977	2505	56
978	2508	53
979	2510	51
980	2512	48
981	2515	46
982	2517	43
983	2520	40
984	2522	38
985	2524	35
986	2527	33
987	2529	30
988	2531	28
989	2534	25
990	2538	23
991	2541	20
992	2543	17
993	2545	15
994	2547	12
995	2549	10
996	2552	7
997	2554	5
998	2556	2
999	2558	0
